score,gt_classification,fen,classic_reg_score,classic_reg_classification,classic_score,classic_classification,gemini_direct_score,gemini_direct_classification,gemini_feature_material,gemini_feature_pawn_structure,gemini_feature_mobility,gemini_feature_king_safety,gemini_feature_tempo,gemini_feature_total
4.6,white,5rk1/p5p1/1pp5/6B1/4Q3/2P3K1/PP5P/5r2 b - - 5 33,1.5804,equal,3.4000000000000004,white,250.0,white,1.5,0.2,0.8,-1.0,0.5,1.0
-8.21,black,5rk1/2R3pp/6r1/pp6/8/Pb3PN1/6PP/3RK3 b - - 0 36,0.0144,equal,0.4,equal,-150.0,black,-0.5,-0.25,-0.5,-1.0,-0.25,-2.5
-0.98,equal,rnbqkr2/ppp1p1b1/5np1/3p3p/3PP3/2P1N3/PP4PP/RNBQKB1R b KQq - 0 9,0.0144,equal,0.4,equal,15.0,white,0.0,0.2,-0.3,0.0,-0.2,-0.3
-8.28,black,1b2r3/p4k2/5pp1/6q1/4R3/2B2n1P/PPP3P1/5R1K w - - 0 35,-3.8502,black,-5.7,black,150.0,white,1.5,0.25,0.5,-0.25,0.0,1.0
5.74,white,r4rk1/1p5p/2n3p1/pNp5/2P1bPBq/P3P2P/1P4P1/2R1QRK1 b - - 2 23,1.4904,equal,0.8999999999999999,equal,-25.0,black,0.1,-0.2,0.3,0.0,0.1,0.1
13.09,white,6k1/8/1ppnP2P/3p2N1/1K1P4/2P5/2P5/8 w - - 0 40,1.5264,equal,1.9,equal,30.0,white,0.25,-0.1,0.2,-0.15,0.05,0.25
0.79,equal,r2qkbnr/pppb1ppp/2np4/8/3NPP2/8/PPP3PP/RNBQKB1R w KQkq - 1 6,0.0144,equal,0.4,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
-5.75,black,rnbqkb2/pp4rQ/2p2pp1/1N2p3/3pP3/8/PPPP1PPP/R1B1K1NR w KQq - 1 9,0.7578,equal,0.8,equal,35.0,white,0.3,0.1,0.4,0.1,0.2,1.1
-26.37,black,r3r1k1/p7/8/3q1p1p/4bBpP/1P6/P5PK/6R1 b - - 1 39,-10.7712,black,-15.7,black,-75.0,black,-0.75,-0.25,0.5,-0.5,0.25,-0.25
0.05,equal,8/8/p2k4/4np2/NPP1p3/4K1P1/8/8 w - - 1 49,-0.0108,equal,-0.30000000000000004,equal,30.0,white,0.5,-0.25,0.25,-0.5,-0.25,0.0
0.61,equal,r3k2r/1pp1nppp/p1p5/2b1p3/3qP3/3P1Q1P/PPPN1PP1/R1B1K2R b KQkq - 6 10,-0.0432,equal,-1.2000000000000002,equal,25.0,white,-0.25,0.1,0.4,0.0,0.3,0.55
1.38,equal,4k3/pp2q3/7p/8/2Q1p1p1/8/PP1r2PP/2R4K w - - 2 34,-0.7722,equal,-1.2,equal,250.0,white,1.5,0.25,0.75,0.5,0.25,1.25
-49.92,black,8/8/8/8/p1kp4/1pp5/4K3/8 b - - 1 61,-3.0708,black,-4.3,black,30.0,white,0.25,-0.1,-0.2,-0.15,-0.05,-0.25
50.0,white,2R4Q/pp2q1k1/4Pp2/3p1Pp1/1P1p2r1/P3P1Qp/7K/6R1 b - - 1 34,9.356399999999999,white,16.9,white,250.0,white,0.25,-0.25,0.75,-1.0,0.5,0.25
1.31,equal,r2q1rk1/pb2b1pp/1p3p2/2p1P3/4pP2/4P3/PP1BB1PP/2RQ1RK1 w - - 0 15,0.0216,equal,0.6000000000000001,equal,35.0,white,0.3,0.2,0.4,0.1,0.2,1.2
0.39,equal,rnb1k1nr/ppp1qppp/8/8/4p3/2N5/P2P1PPP/1RBQKB1R w Kkq - 2 10,-1.53,equal,-2.0,equal,25.0,white,0.3,0.1,0.4,0.0,0.2,1.0
1.61,equal,rn1q3r/p3bnkp/b1pp1pp1/4pP2/2B1P3/2N1B2P/PPPN2P1/R2Q1RK1 w - - 1 14,0.0756,equal,2.1,white,35.0,white,0.3,0.1,0.4,-0.2,0.2,0.8
2.34,white,r2qkb1r/nppb1ppp/p3pn2/8/2PP4/P1N1BN1P/1P3PP1/R2QKB1R w KQkq - 3 10,0.0324,equal,0.9,equal,25.0,white,0.3,0.1,0.4,0.0,0.2,1.0
-13.46,black,7r/1p6/1bp2P2/6R1/P1P1k3/1p1p4/3K4/8 w - - 0 38,-3.0852,black,-4.7,black,250.0,white,1.5,0.25,0.5,-0.25,0.25,1.25
7.31,white,8/1p3rk1/p1np2p1/2pNn2p/P3PR2/3P4/1PP3PP/5RK1 w - - 0 25,2.3058,white,3.3,white,35.0,white,0.25,0.1,0.3,0.0,0.15,0.8
-0.29,equal,rnbqkb1r/pp2pppp/2p2n2/8/4N3/6P1/PPPP1PBP/R1BQK1NR b KQkq - 0 5,-0.0144,equal,-0.4,equal,-25.0,black,0.25,-0.1,-0.2,0.15,-0.05,0.05
-5.11,black,2kr1b1r/ppp1p1pp/4b3/3pP3/q1P2P2/3BnQP1/7P/2R1K1NR w K - 0 18,-3.8646000000000003,black,-6.1,black,150.0,white,1.5,0.25,0.75,-0.25,0.5,2.75
4.37,white,rnbq1rk1/ppp1b1pp/4pn2/3pPp2/8/1P1P1N2/PBPN1PPP/R2QKB1R w KQ - 1 8,-0.0072,equal,-0.2,equal,25.0,white,0.3,0.1,0.2,0.0,0.1,0.7
-9.67,black,4r1k1/p1pb3p/1p1p2p1/3P1pR1/2P2p2/1P1PrP2/P2KB2P/R7 b - - 2 22,-0.7794,equal,-1.4,equal,-25.0,black,0.0,-0.25,-0.25,0.25,0.0,-0.25
0.2,equal,6k1/pp5p/1np5/3n4/4q1B1/6BP/P4P1K/3Q4 b - - 7 30,-0.7902,equal,-1.7000000000000002,equal,-250.0,black,-2.5,-0.25,-0.5,-0.75,0.25,-3.75
0.0,equal,6k1/1R3p1p/6p1/4p3/P2b4/6P1/2r1BP1P/5K2 w - - 2 30,0.0036,equal,0.1,equal,150.0,white,1.5,0.2,0.4,-0.3,0.2,1.0
49.98,white,2r1r3/p5pp/2P1Pp1b/3Q1P1k/1P6/P5PP/8/R3K2R w KQ - 1 31,6.9354,white,10.4,white,250.0,white,2.0,0.25,0.75,-0.25,0.5,2.25
1.98,equal,r1bqkn1r/pp2bppp/2pp1n2/4P3/2P5/2N1PNP1/PP3PBP/R1BQ1RK1 b kq - 0 9,0.7902,equal,1.7000000000000002,equal,-25.0,black,-0.1,-0.15,-0.05,0.0,-0.1,-0.2
-1.61,equal,r1b1kbnr/ppp1qppp/2np4/4P3/2BP4/2N2Q2/PPP2PPP/R1B1K2R w KQkq - 2 9,-1.4616,equal,-0.09999999999999987,equal,30.0,white,0.3,0.1,0.2,0.0,0.1,0.7
0.89,equal,r1b1kbnr/ppp1pppp/2n5/4q3/8/2N5/PPPPQPPP/R1B1KBNR w KQkq - 4 5,-0.0684,equal,-1.9000000000000001,equal,25.0,white,0.25,-0.1,0.3,0.0,0.15,0.6
1.11,equal,r1bqk2r/pp2bppp/2n2n2/1BPp4/8/5N2/PPPN1PPP/R1BQ1RK1 b kq - 0 8,0.7578,equal,0.8,equal,25.0,white,0.1,-0.1,0.2,0.0,-0.1,0.1
1.83,equal,r1bqkb1r/pppp1ppp/8/1B1nP3/8/2p5/PP1P1PPP/RNBQ1RK1 w kq - 0 8,-0.7578,equal,-0.8,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
6.58,white,3R4/pp2r2p/2p4k/2b2p2/4p3/8/PPP2PPP/3R2K1 w - - 4 26,1.5732,equal,3.2,white,150.0,white,1.5,0.25,0.5,-0.25,0.25,1.25
0.09,equal,r4rk1/3nppbp/p2p2p1/1q1P4/2p1PP2/RnP1BN2/1P2Q1PP/3N1RK1 w - - 0 18,-0.0288,equal,-0.8,equal,35.0,white,0.3,0.1,0.4,-0.2,0.2,0.4
0.24,equal,r1bqk2r/2pp1ppp/ppn2n2/2b1p3/2P1P3/2NP1N2/PP2BPPP/R1BQ1RK1 b kq - 1 7,-0.0144,equal,-0.4,equal,-25.0,black,0.1,-0.15,0.2,0.0,-0.05,0.1
-7.47,black,8/4bp1k/4p3/2p1P2p/3p1P2/5K2/4r3/4B1R1 b - - 7 40,-2.3129999999999997,black,-3.5,black,-150.0,black,-0.25,-0.25,-0.5,-1.0,-0.5,-2.5
0.1,equal,2N5/5k2/p3nPp1/P1Nb4/8/8/3K4/8 w - - 3 52,-0.0108,equal,-0.30000000000000004,equal,150.0,white,1.5,0.25,0.5,-0.5,0.25,1.0
11.24,white,rnb1k2r/pp3ppp/4p3/3R4/3pQ3/5N2/P2B1PPP/5RK1 b kq - 0 17,4.7016,white,9.1,white,-25.0,black,0.1,0.05,-0.15,0.0,-0.05,-0.05
-16.13,black,r1b2b1r/pp3k1p/2np2p1/2pnp3/8/N2P2P1/PPPB1P1P/R2K4 w - - 0 14,-8.458200000000001,black,-12.2,black,30.0,white,0.3,-0.1,0.4,-0.2,0.1,0.5
0.25,equal,r2qk2r/pbpnbppp/1p1ppn2/8/1PP5/P3PN2/1B1PBPPP/RN1QK2R w KQkq - 2 8,-0.0108,equal,-0.30000000000000004,equal,25.0,white,0.1,0.0,0.2,0.0,0.1,0.4
-49.97,black,7k/1p3q1p/p6P/2p5/2P2r1P/1P4K1/P2p4/8 b - - 0 51,-10.8,black,-16.5,black,-150.0,black,0.25,-0.25,0.75,0.5,0.5,0.75
0.36,equal,3R4/5pkp/p5p1/2p5/8/7P/q4PP1/3R2K1 w - - 0 30,-0.7326,equal,-0.09999999999999998,equal,150.0,white,1.5,-0.25,0.75,0.25,0.5,2.75
6.74,white,4r1kb/2q1pp1p/3pn1pP/2p5/4N3/2PPB1P1/2Q2PB1/4R1K1 b - - 2 24,1.5552000000000001,equal,2.7,white,75.0,white,0.25,-0.1,-0.2,-0.5,-0.4,-0.45
-0.59,equal,r5k1/ppq1r1p1/2nb1pb1/3p3p/3P1PN1/1PP1B2P/3QB1P1/R4RK1 w - - 0 20,-0.018,equal,-0.5,equal,35.0,white,0.3,0.1,0.4,-0.2,0.2,0.4
-3.55,black,r1bq1rk1/p5pp/2p5/2PpBp2/1P2n3/P7/2P1QPPP/RN2K2R b KQ - 0 13,0.7794,equal,1.4,equal,-25.0,black,0.1,-0.2,0.15,0.0,-0.05,0.0
7.43,white,5b2/1k6/1p1p4/1P2p1p1/2P1Pp1p/2K2P1P/6P1/2R5 b - - 19 48,1.5552000000000001,equal,2.7,white,-30.0,black,-0.2,-0.1,-0.15,0.0,0.1,-0.25
12.5,white,r1bQnrk1/ppp2ppp/8/8/4PB2/2P3P1/P1P2PBP/R3K2R b KQ - 0 12,7.7328,white,12.3,white,-25.0,black,0.25,-0.1,-0.3,-0.15,-0.2,-0.5
3.04,white,rn1qk2r/pQ3ppp/2p1bn2/6B1/1P6/1P1p4/P4PPP/RN2KBNR b KQkq - 0 12,2.3022,white,3.2,white,-75.0,black,0.0,-0.25,-0.75,-1.0,-0.5,-1.5
13.36,white,r3k2r/pp1b1p1p/2pBpqp1/3p4/3P4/3BP3/PPPNQPPP/R3K2R b KQkq - 0 11,4.6655999999999995,white,8.1,white,15.0,white,0.1,-0.1,-0.2,0.0,-0.1,-0.2
-7.59,black,8/5pkp/1Q4p1/4P3/pp3P1P/5KP1/2q5/8 b - - 1 45,-0.7866,equal,-1.6,equal,-150.0,black,-9.0,0.25,-0.5,-0.25,0.0,-9.5
2.19,white,r1bqkb1r/pp3ppp/n1pp1n2/3Pp3/2B1P3/P1N2N2/1PP2PPP/R1BQK2R w KQkq - 0 8,0.036,equal,1.0,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
-0.05,equal,r2qk2r/4bppp/b3p3/p2pP1P1/2pP1P1P/2B2N2/PP6/R2Q1RK1 b kq - 3 17,0.0036,equal,0.1,equal,25.0,white,0.1,0.2,-0.1,0.15,0.05,0.2
1.86,equal,r1bqrbk1/2p2p1p/1nPp1np1/p3p3/PP2P3/5N2/1NQ1BPPP/R1B2RK1 w - - 0 17,0.0216,equal,0.6000000000000001,equal,35.0,white,0.25,0.1,0.3,0.05,0.15,0.85
5.94,white,r2q1rk1/p2n1ppp/b1p1pn2/1N6/1bpP1B2/6P1/PPQNPPBP/3R1RK1 w - - 1 13,0.0432,equal,1.2000000000000002,equal,35.0,white,0.3,0.1,0.4,0.0,0.2,1.0
1.07,equal,r1bq1rk1/pp2ppbp/n2p1np1/2pP2B1/2P1P3/2N2N2/PP2BPPP/R2QK2R b KQ - 3 8,0.0396,equal,1.1,equal,25.0,white,0.0,-0.25,-0.25,0.0,-0.25,-0.5
-0.05,equal,4bk2/5ppp/5b2/3N4/8/2P1R2P/5PP1/1r1B2K1 w - - 6 34,0.7614,equal,0.9,equal,35.0,white,0.3,-0.1,0.2,-0.2,0.1,0.3
8.28,white,r1b1kb2/2ppq3/p1n2p2/1p2p3/4P1r1/1BPP4/PP1N4/R1BQ1RK1 w q - 0 16,-0.8802,equal,-4.2,black,35.0,white,0.3,0.1,0.4,0.2,0.1,0.5
8.17,white,rn1q1rk1/ppp2p2/3p1n1p/8/3PPQpP/2PB4/PBP3P1/2KR3R b - - 0 13,0.0468,equal,1.3,equal,25.0,white,0.1,-0.1,-0.2,0.0,-0.1,-0.2
-7.94,black,5k2/p4p2/8/1R3Kp1/4Pb2/8/P2r4/8 b - - 3 28,-3.1068000000000002,black,-5.3,black,-150.0,black,-0.5,-0.25,-0.5,-1.0,-0.25,-2.5
0.16,equal,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,0.0108,equal,0.30000000000000004,equal,25.0,white,0.1,-0.1,0.2,0.0,0.1,0.2
6.73,white,3r4/5pkp/2K3p1/2R3P1/3P1P2/8/8/8 w - - 5 44,-0.0108,equal,-0.30000000000000004,equal,250.0,white,2.0,0.25,0.5,-0.5,0.25,2.5
0.29,equal,rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3,-0.0072,equal,-0.2,equal,25.0,white,0.0,0.1,0.2,0.0,0.1,0.4
0.96,equal,r2q1rk1/pbp3p1/1p2pb1p/3pBp2/3Pn3/2PBPN1P/PPQ2PP1/4RRK1 w - - 3 16,0.0036,equal,0.1,equal,35.0,white,0.3,0.1,0.4,0.0,0.2,1.0
5.42,white,r5nr/pp3k2/n3pq1p/3pBpp1/1b1P4/1QNBP3/P4PPP/R3K2R b KQ - 1 15,-0.7218,equal,0.20000000000000018,equal,25.0,white,0.1,-0.2,0.3,0.0,0.1,0.0
0.37,equal,8/p4pkp/4B1p1/8/8/6P1/Pr1rPP1P/R3R1K1 b - - 0 23,3.0492,white,3.7,white,-25.0,black,0.1,-0.2,0.15,-0.05,-0.1,-0.1
0.78,equal,8/p4kpp/4p3/2p1P3/P1Nb4/3K2PP/1P6/8 b - - 0 32,-0.0072,equal,-0.2,equal,-25.0,black,-0.2,-0.1,-0.15,0.3,-0.05,-0.2
1.86,equal,r4rk1/p1q3pp/1pNbpn2/3p1p1b/3PnB2/1QP1PN1P/PP2BPP1/R3R1K1 w - - 1 15,0.7758,equal,1.3,equal,35.0,white,0.3,0.1,0.4,-0.2,0.2,0.8
4.44,white,r4rk1/1p3b2/p2q4/7p/1PBp2p1/PQ4P1/5R2/4RNK1 b - - 1 30,0.8046,equal,2.1,white,25.0,white,-0.25,0.0,0.5,0.0,0.3,0.55
-0.01,equal,rnb1kbnr/pp1qpppp/2p5/8/B7/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 6,0.0036,equal,0.1,equal,-25.0,black,0.25,-0.1,-0.2,0.0,-0.15,-0.2
5.82,white,3r4/pppbq1kp/2n2Np1/3B3n/8/5N1P/PP3PP1/R2QR1K1 b - - 0 18,3.8358000000000003,white,5.3,white,-75.0,black,0.25,-0.1,0.75,0.5,0.4,0.8
-7.92,black,2r2rk1/pR2bppp/q3p3/nQ3b2/3PNB2/4P2P/3N1PP1/5RK1 b - - 4 18,0.0468,equal,1.3,equal,-75.0,black,-0.25,-0.1,0.3,-0.2,0.15,-0.1
2.98,white,r2r4/8/p4k1p/Rp1P1pp1/2p1PP2/2P2P2/4K3/3R4 w - - 0 31,-0.7506,equal,-0.6,equal,250.0,white,1.5,0.2,0.5,-0.3,0.1,1.0
-10.69,black,r1bq1r2/pppk4/3b1p2/2n1n3/5Q1N/3P4/PPP2PPP/RN2KB1R b KQ - 2 18,0.0252,equal,0.7000000000000001,equal,25.0,white,-0.25,0.25,0.5,0.25,0.25,0.25
0.66,equal,r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 1 4,-0.0108,equal,-0.30000000000000004,equal,25.0,white,0.0,0.1,0.2,0.0,0.1,0.4
-0.06,equal,r1r3k1/p4p2/1np1bqp1/2Q4p/4P2P/2N2P2/PP2B3/1K1R3R w - - 4 22,0.0576,equal,1.6,equal,250.0,white,2.0,0.25,0.75,-0.25,0.5,1.25
10.3,white,8/3R3p/kp4p1/8/8/8/PPP4r/2KR4 w - - 14 41,3.8718000000000004,white,6.3,white,250.0,white,2.0,0.25,0.5,0.25,0.25,1.5
-31.73,black,2b1kbnr/p4pp1/2p1p3/3p4/3N2Pp/2N1PP2/Pr6/n2K4 w k - 0 19,-14.6142,black,-21.2,black,30.0,white,0.3,0.1,0.2,-0.1,0.1,0.4
-1.87,equal,r1bqkbnr/pppp1ppp/2n5/1B2p2Q/4P3/8/PPPP1PPP/RNB1K1NR b KQkq - 3 3,0.05399999999999999,equal,1.5,equal,-25.0,black,-0.25,0.25,0.25,0.1,0.15,0.0
7.58,white,rn2k2r/p3qppp/b7/1pPpP1b1/1P6/P1BB2PP/3NQP2/R3K2R w KQkq - 3 19,0.7974,equal,1.9,equal,35.0,white,0.3,0.1,0.4,0.1,0.2,0.5
0.0,equal,8/5pk1/2p2qp1/pp6/8/P5P1/4Q1BP/7K b - - 1 36,0.7866,equal,1.6,equal,-250.0,black,-0.5,-0.25,-0.75,-1.0,-0.5,-2.0
-10.71,black,rn1q1rk1/pp2bppp/2pp1n2/8/8/1P1PP3/PB3PPP/RN1K1BNR b - - 2 9,-4.5792,black,-5.7,black,-25.0,black,0.0,-0.2,-0.3,0.0,-0.1,-0.2
-0.83,equal,r1bq1rk1/pp1nbppp/2p1p3/3n4/P1pP4/2N2NP1/1P1BPPBP/R2Q1RK1 b - - 4 10,-0.7722,equal,-1.2,equal,-25.0,black,0.2,-0.1,0.3,0.0,-0.1,0.3
6.6,white,r1q1kb1r/ppp1pp1p/7p/8/4PpBP/2NP2P1/PPP5/R2QK2R b KQkq - 0 11,1.5804,equal,3.4000000000000004,white,-25.0,black,0.1,-0.1,-0.2,-0.1,-0.1,-0.2
-19.42,black,rnbq1k2/ppp2pq1/3b4/8/2P5/2NP4/PPK4r/R1BQ2R1 w - - 1 20,-9.3636,black,-17.1,black,35.0,white,0.3,0.1,0.2,0.0,0.1,0.7
0.92,equal,5rk1/1bqn3p/2p3p1/ppPp4/1P1b2B1/P3P2P/2Q3PN/5RK1 w - - 0 26,-2.3058,black,-3.3,black,150.0,white,2.0,0.25,0.75,0.25,0.5,1.75
2.15,white,rn2k2r/1p3ppp/p2n4/2p3b1/5PN1/2NB2P1/PPP4P/R4RK1 b kq - 0 16,0.0396,equal,1.1,equal,25.0,white,0.25,0.1,0.4,0.3,0.15,0.4
7.4,white,5q2/2Qbkp2/p1p4r/8/3pP3/3B4/P1P3PP/5RK1 w - - 3 27,0.819,equal,2.5,white,350.0,white,3.0,0.25,0.75,-0.5,0.5,3.0
2.08,white,3q1rk1/1B2ppbp/p3bnp1/4p3/Q7/2r3PP/PPP2P2/R1B1R1K1 w - - 0 16,-2.3022,black,-3.2,black,250.0,white,2.0,0.25,0.75,-0.25,0.5,2.25
5.38,white,1r4k1/1b1rqp1p/2p1p1P1/p1P1P3/1p1PB3/1Pn2NP1/P1Q2PK1/R6R b - - 0 26,1.5588,equal,2.8,white,-25.0,black,0.1,0.2,-0.3,0.0,-0.1,-0.1
-8.75,black,2r2rk1/p1q2ppp/8/4N3/4R3/3p4/PP3PPP/4R1K1 w - - 0 25,-4.572,black,-5.5,black,250.0,white,1.5,0.25,0.5,-0.25,0.25,1.25
15.07,white,2bR4/5p2/p3p1p1/1p4k1/8/P4P2/1P4B1/5RK1 b - - 1 32,6.1704,white,9.4,white,-25.0,black,-0.2,-0.1,-0.15,0.3,-0.05,-0.2
0.22,equal,3q1rk1/prp2pp1/1p2pb1p/8/P4B2/3P1QP1/1PP2P1P/R3R1K1 b - - 1 16,0.05399999999999999,equal,1.5,equal,-250.0,black,-2.5,0.25,0.25,0.1,0.1,-2.0
-49.93,black,r7/1p5k/p2Bbbqp/4p3/3nppP1/P6Q/1P3PKP/3R1R2 b - - 0 30,-1.584,equal,-3.5,black,-150.0,black,-0.25,0.25,0.75,-0.5,0.5,0.25
-7.47,black,2r3k1/pp3ppp/1n6/3qN3/3P4/1P2P2P/P3Q1P1/6K1 w - - 0 24,-3.0888,black,-4.8,black,250.0,white,2.0,0.25,0.75,0.5,0.5,1.5
-1.73,equal,rnb1kb1r/ppp2ppp/3qpn2/8/8/5Q2/PPPP1PPP/RNB1KBNR b KQkq - 3 5,-0.0072,equal,-0.2,equal,-25.0,black,0.1,0.2,0.15,0.05,0.0,0.5
12.29,white,r5Q1/pppkbp1p/2p5/3n4/8/8/PPb2PPP/RNB3K1 w - - 1 15,3.8034000000000003,white,4.4,white,150.0,white,2.0,-0.25,0.5,-0.75,0.25,1.75
1.34,equal,rnbqk2r/1p1nbppp/p2pp3/6P1/3NP2P/2N1B3/PPP2P2/R2QKB1R b KQkq - 1 9,0.0684,equal,1.9000000000000001,equal,25.0,white,0.1,-0.05,-0.2,0.25,-0.1,-0.1
-2.62,black,2kr3r/1pp1q1bp/1p1pp1p1/8/4NnP1/3P1Q1P/PPP2PB1/2KR3R b - - 6 17,-0.0216,equal,-0.6000000000000001,equal,-75.0,black,0.0,-0.25,-0.75,-1.0,-0.5,-1.5
-0.05,equal,rnb1kbnr/pp2pppp/8/2qp4/8/2N2N2/PPPBPPPP/R2QKB1R b KQkq - 1 5,-0.0288,equal,-0.8,equal,-25.0,black,0.0,0.1,-0.2,0.0,-0.1,-0.2
-2.19,black,r2qk2r/p2n1ppp/1pn1b3/1B1NP3/1b1p1B2/2P2Q2/PP3P2/R3K2R b Qkq - 0 17,-3.0348,black,-3.3,black,-25.0,black,0.1,-0.1,-0.2,0.0,-0.1,-0.2
-7.32,black,rnbqkb1r/ppp1pn1p/6p1/7Q/4p3/8/PPPP1PPP/RNB1KB1R w KQkq - 0 6,-2.2734,black,-2.4,black,150.0,white,1.4,0.1,0.5,-0.2,0.3,1.1
-49.99,black,6k1/p1p2ppp/1b6/3P4/1P3P2/B4qP1/P4r1P/R6K w - - 1 26,-6.2568,black,-11.8,black,250.0,white,2.5,0.2,1.0,0.8,0.5,1.8
-0.68,equal,r4rk1/pp3ppp/2p2n2/6B1/3P4/2N2BK1/PP6/R7 b - - 4 19,-1.4652,equal,-0.19999999999999996,equal,-75.0,black,-0.75,-0.25,0.25,0.25,-0.25,-0.75
-10.73,black,r4r1k/6p1/3p3p/2p2B1P/1p2pP2/n3P2N/p1P1K3/6RR b - - 0 34,-0.0036,equal,-0.1,equal,-25.0,black,0.1,-0.2,-0.1,0.0,-0.05,-0.25
0.28,equal,2r5/1n2k1pp/p3p3/1p6/5P2/P1N1K3/1PP3PP/3R4 b - - 5 25,0.7974,equal,1.9,equal,-25.0,black,-0.2,-0.1,-0.15,0.0,0.05,-0.2
21.83,white,r1b1k2r/pp3pp1/2nN1P1p/3p4/8/1P6/PBP1P2P/RN2KBQn b Qkq - 1 14,5.4990000000000006,white,11.0,white,25.0,white,-0.25,0.1,0.4,0.2,0.15,0.1
-13.3,black,8/5Qqk/6pp/8/8/5PKP/6P1/q7 w - - 1 44,-6.1128,black,-7.8,black,250.0,white,2.5,0.25,0.5,-0.5,0.25,2.0
2.4,white,r1bqkb1r/ppp5/2np1p1p/4p3/2B1P3/2N2N2/PPP2PPP/R2QK2R w KQkq - 0 9,0.0684,equal,1.9000000000000001,equal,35.0,white,0.3,0.1,0.2,-0.1,0.1,0.4
0.79,equal,rnbqkb1r/pppppp1p/5np1/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,0.0036,equal,0.1,equal,25.0,white,0.0,0.05,0.2,0.0,0.1,0.35
-3.66,black,5rk1/5ppp/4pb2/1p6/1p1p4/3P1qN1/2P2PPP/5RK1 w - - 0 20,-8.4762,black,-12.7,black,30.0,white,0.3,-0.1,0.4,-0.2,0.2,0.6
49.94,white,4Q3/1kp2P2/1p6/p7/8/2r5/6PP/5RK1 b - - 0 39,6.957,white,11.0,white,350.0,white,2.0,0.25,1.5,-1.0,0.75,3.5
-7.84,black,8/8/3k1p2/1Kp2P1p/8/PB1P4/1PP1r1nP/8 b - - 2 37,-1.5372000000000001,equal,-2.2,black,30.0,white,-0.25,0.0,0.5,-0.25,0.25,0.25
-8.65,black,rnbqkbnr/pp1ppppp/8/8/2Pp4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-0.729,equal,0.0,equal,25.0,white,0.0,0.1,0.2,0.0,0.1,0.2
-5.6,black,r1b2rk1/p1p2p1p/2pp4/2b2qnN/8/2N5/PPP2PPP/R2Q1RK1 w - - 2 13,-2.3094,black,-3.4,black,35.0,white,0.3,0.1,0.2,0.0,0.1,0.4
-6.35,black,r4k2/p2p1ppp/bqn1pn2/8/8/5N2/PP1Q1PPP/2RR2K1 b - - 3 19,-1.5624,equal,-2.9,black,-75.0,black,-0.5,-0.25,-1.0,-1.5,-0.75,-4.0
1.09,equal,r1bqk1nr/pppn1pbp/3p2p1/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 6,0.0252,equal,0.7000000000000001,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
5.14,white,3r2k1/1pp2r2/2n2p2/p2Bp3/8/3P2P1/PP1QPK1P/6R1 b - - 0 20,3.9006000000000003,white,7.1,white,-150.0,black,0.1,-0.2,0.4,0.0,0.3,0.2
0.64,equal,rnbqkb1r/pp3ppp/2p1pn2/8/2pP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 0 6,-0.7686000000000001,equal,-1.1,equal,25.0,white,0.25,0.1,0.3,0.0,0.15,0.8
-3.82,black,3r1k1r/p4ppp/2p5/2b2b2/4nB2/5N2/PPB2PPP/R3R1K1 b - - 7 17,-0.0072,equal,-0.2,equal,30.0,white,-0.25,0.0,0.5,0.25,0.25,0.25
-2.15,black,r1b1r1k1/pp2bpp1/2p2n1p/8/2B1N3/8/PPP2PPP/R1B1R1K1 b - - 5 14,0.0288,equal,0.8,equal,-25.0,black,0.25,-0.15,-0.1,0.2,0.0,0.2
-0.02,equal,8/5p2/4p1p1/4k3/p2r4/P1RP2KP/6P1/8 w - - 0 44,-0.0216,equal,-0.6000000000000001,equal,150.0,white,1.5,0.2,0.5,0.3,0.2,2.7
0.5,equal,r1bqk2r/ppp1ppbp/1nn3p1/4P3/2PP4/2N5/PP4PP/R1BQKBNR w KQkq - 1 9,0.0144,equal,0.4,equal,25.0,white,0.1,0.05,0.2,0.0,0.15,0.5
7.23,white,r2q1r2/pp6/2npbk2/3p1p1Q/4P3/2PB4/P4P2/R1B1K2R b KQ - 0 19,-0.7182000000000001,equal,0.30000000000000004,equal,-150.0,black,0.0,-0.25,-0.5,-0.75,-0.5,-1.0
-0.37,equal,8/3k4/3bp3/pp6/1n1P2P1/3b4/P4P1P/K1Q5 b - - 0 32,1.5336,equal,2.1,white,-150.0,black,0.25,-0.25,0.75,-1.0,0.5,0.25
